,Country_Region,FIPS,Lat,Long_,Confirmed,Deaths,Recovered,Active,country,iso_alpha
117,Turkey,1.0,38.9637,35.2433,18135,356,415,17364,Turkey,TUR
118,United States,70832874.0,85771.86069059008,-204340.60669713985,243453,5926,9001,1,United States,USA
119,Uganda,1.0,1.373333,32.290275,45,1,1,45,Uganda,UGA
120,United Kingdom,1.0,321.82619800000003,-423.40106599999996,34173,2926,192,31055,United Kingdom,GBR
121,Uruguay,1.0,-32.5228,-55.7658,350,4,62,284,Uruguay,URY
122,Venezuela,1.0,6.4238,-66.5897,146,5,43,98,Venezuela,VEN
123,Vietnam,1.0,14.058324,108.277199,233,1,75,158,Vietnam,VNM
124,West Bank and Gaza,1.0,31.9522,35.2332,161,1,18,142,West Bank and Gaza,PSE
125,Zambia,1.0,-13.133897,27.849332,39,1,1,38,Zambia,ZMB
126,Zimbabwe,1.0,-19.015438,29.154857,9,1,1,8,Zimbabwe,ZWE
